Microsoft Windows [Version 10.0.17763.503]
(c) 2018 Microsoft Corporation. All rights reserved.

C:\WINDOWS\system32>netstat

Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:1708         DESKTOP-AL5995A:1709   ESTABLISHED
  TCP    127.0.0.1:1709         DESKTOP-AL5995A:1708   ESTABLISHED
  TCP    127.0.0.1:1710         DESKTOP-AL5995A:pptconference  ESTABLISHED
  TCP    127.0.0.1:1711         DESKTOP-AL5995A:1710   ESTABLISHED
  TCP    127.0.0.1:1712         DESKTOP-AL5995A:1713   ESTABLISHED
  TCP    127.0.0.1:1713         DESKTOP-AL5995A:1712   ESTABLISHED
  TCP    127.0.0.1:1714         DESKTOP-AL5995A:1715   ESTABLISHED
  TCP    127.0.0.1:1715         DESKTOP-AL5995A:1714   ESTABLISHED
  TCP    127.0.0.1:1716         DESKTOP-AL5995A:1717   ESTABLISHED
  TCP    127.0.0.1:1717         DESKTOP-AL5995A:1716   ESTABLISHED
  TCP    127.0.0.1:1951         DESKTOP-AL5995A:2016   ESTABLISHED
  TCP    127.0.0.1:1952         DESKTOP-AL5995A:1980   ESTABLISHED
  TCP    127.0.0.1:1952         DESKTOP-AL5995A:2019   ESTABLISHED
  TCP    127.0.0.1:1953         DESKTOP-AL5995A:2022   ESTABLISHED
  TCP    127.0.0.1:1954         DESKTOP-AL5995A:1978   ESTABLISHED
  TCP    127.0.0.1:1956         DESKTOP-AL5995A:1957   ESTABLISHED
  TCP    127.0.0.1:1957         DESKTOP-AL5995A:1956   ESTABLISHED
  TCP    127.0.0.1:1959         DESKTOP-AL5995A:1960   ESTABLISHED
  TCP    127.0.0.1:1960         DESKTOP-AL5995A:1959   ESTABLISHED
  TCP    127.0.0.1:1978         DESKTOP-AL5995A:1954   ESTABLISHED
  TCP    127.0.0.1:1980         DESKTOP-AL5995A:1952   ESTABLISHED
  TCP    127.0.0.1:1981         DESKTOP-AL5995A:1982   ESTABLISHED
  TCP    127.0.0.1:1982         DESKTOP-AL5995A:1981   ESTABLISHED
  TCP    127.0.0.1:1983         DESKTOP-AL5995A:1984   ESTABLISHED
  TCP    127.0.0.1:1984         DESKTOP-AL5995A:1983   ESTABLISHED
  TCP    127.0.0.1:1985         DESKTOP-AL5995A:1986   ESTABLISHED
  TCP    127.0.0.1:1986         DESKTOP-AL5995A:1985   ESTABLISHED
  TCP    127.0.0.1:1987         DESKTOP-AL5995A:1988   ESTABLISHED
  TCP    127.0.0.1:1988         DESKTOP-AL5995A:1987   ESTABLISHED
  TCP    127.0.0.1:1989         DESKTOP-AL5995A:1990   ESTABLISHED
  TCP    127.0.0.1:1990         DESKTOP-AL5995A:1989   ESTABLISHED
  TCP    127.0.0.1:1991         DESKTOP-AL5995A:1992   ESTABLISHED
  TCP    127.0.0.1:1992         DESKTOP-AL5995A:1991   ESTABLISHED
  TCP    127.0.0.1:1993         DESKTOP-AL5995A:1994   ESTABLISHED
