Tuning Logit hyper-parameters

Tuning hyper-parameters for precision

Best parameters set found on development set:

{'C': 10.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.001, 'warm_start': True}

Grid scores on development set:

0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 1e-05, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.0001, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.001, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 1e-05, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.001, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'sag', 'tol': 1e-05, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.0001, 'warm_start': True}
0.646 (+/-0.143) for {'C': 0.1, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.001, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 1e-05, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.0001, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.001, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 1e-05, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.001, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'sag', 'tol': 1e-05, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.0001, 'warm_start': True}
0.606 (+/-0.184) for {'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.001, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 1e-05, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.0001, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.001, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 1e-05, 'warm_start': True}
0.622 (+/-0.164) for {'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': True}
