Date,North_West_VDA,North_West_LIG,North_West_PIE,North_West_LOM,North_East_VEN,North_East_TN,North_East_BZ,North_East_FVG,North_East_EMR,Centre_MAR,Centre_TOS,Centre_UMB,Centre_LAZ,South_ABR,South_MOL,South_CAM,South_BAS,South_PUG,South_CAL,Islands_SIC,Islands_SAR,Confirmed_New,Confirmed_Cumulative,Deaths_New,Deaths_Cumulative,Active_ICU,Active_Cumulative,Recovered_Cumulative,Tested_Cumulative,References,Notes
2020-01-31,,,,,,,,,,,,,2.0,,,,,,,,,2,2,,,,2,,,3,
2020-02-06,,,,,,,,,,,,,1.0,,,,,,,,,1,3,,,,3,,,4,
2020-02-21,,,,15.0,12.0,,,,,,,,,,,,,,,,,17,20,1.0,1.0,,19,,,5,
2020-02-22,,,1.0,140.0,16.0,,,,2.0,,,,,,,,,,,,,59,79,1.0,2.0,18.0,75,,,67,
2020-02-23,,,2.0,157.0,7.0,,,,7.0,,,,,,,,,,,,,71,150,1.0,3.0,25.0,147,,,89,
2020-02-24,,,,461.0,7.0,,,,9.0,,,,,,,,,,,,,77,227,4.0,7.0,27.0,199,1.0,,1011,
2020-02-25,,1.0,,267.0,111.0,,1.0,,8.0,,2.0,,,,,,,,,3.0,,93,320,3.0,10.0,35.0,309,1.0,8600.0,1213,
2020-02-26,,10.0,,165.0,28.0,,,,121.0,1.0,,,,,,,,,,,,125,445,2.0,12.0,36.0,430,3.0,9587.0,1415,
2020-02-27,,8.0,1.0,598.0,40.0,,,,50.0,2.0,,,,1.0,,3.0,,1.0,,1.0,,205,650,5.0,17.0,56.0,588,45.0,12014.0,1718,
2020-02-28,,,9.0,3128.0,40.0,,,,148.0,3.0,6.0,,,,,1.0,,2.0,1.0,,,238,888,4.0,21.0,64.0,821,46.0,15695.0,2021,
2020-02-29,,23.0,,684.0,40.0,,,,272.0,5.0,3.0,,3.0,1.0,,9.0,,,,,,240,1128,8.0,29.0,105.0,1049,50.0,18661.0,2223,
2020-03-01,,17.0,38.0,1369.0,72.0,,,6.0,468.0,14.0,2.0,2.0,,3.0,,4.0,,,,5.0,,566,1694,5.0,34.0,140.0,1577,83.0,21127.0,2425,
2020-03-02,,3.0,2.0,14270.0,10.0,,,3.0,350.0,110.0,,,1.0,,,,,1.0,,2.0,,342,2036,18.0,52.0,166.0,1835,149.0,23345.0,2627,
