Date,West_AK,West_AZ,West_CA,West_CO,West_HI,West_ID,West_MT,West_NM,West_NV,West_OR,West_UT,West_WA,West_WY,Midwest_IA,Midwest_IL,Midwest_IN,Midwest_KS,Midwest_MI,Midwest_MN,Midwest_MO,Midwest_ND,Midwest_NE,Midwest_OH,Midwest_OK,Midwest_SD,Midwest_WI,South_AL,South_AR,South_FL,South_GA,South_KY,South_LA,South_MS,South_NC,South_SC,South_TN,South_TX,South_VA,South_WV,Northeast_CT,Northeast_DC,Northeast_DE,Northeast_MA,Northeast_MD,Northeast_ME,Northeast_NH,Northeast_NJ,Northeast_NY,Northeast_PA,Northeast_RI,Northeast_VT,Territories_GU,Territories_PR,Territories_VI,Confirmed_New,Confirmed_Cumulative,Deaths_New,Deaths_Cumulative,Recovered_New,Recovered_Cumulative
2020-01-24,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,
2020-01-25,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,
2020-01-26,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,
2020-01-30,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,
2020-01-31,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,
2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,8,,,,
2020-02-02,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,,,,
2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,,,,
2020-02-20,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,,,
2020-02-26,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,
2020-02-28,,,1,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,,,,
2020-02-29,,,1,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24,1,1,,
2020-03-01,,,5,,,,,,,1,,7,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,2,,,,,18,42,1,2,,
2020-03-02,,,5,,,,,,,1,,5,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,15,57,4,6,,
2020-03-03,,1,12,,,,,,,,,10,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,1,,1,,,,,,,28,85,3,9,,
2020-03-04,,,4,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,9,,,,,,,26,111,2,11,,
2020-03-05,,,8,2,,,,,1,,,31,,,1,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,1,3,,,1,11,,,,,,,64,175,1,12,,
2020-03-06,,1,11,6,1,,,,1,,1,10,,,1,1,,,1,,,1,,1,,,,,3,1,1,,,1,,,3,,,,,,5,,,,2,22,2,1,,,,,77,252,5,17,,
2020-03-07,,2,8,,,,,,,4,,22,,,,1,1,,,1,,,,,,,,,2,4,,,,,2,,,1,,,1,,5,,,,,45,2,,,,,,101,353,2,19,,
2020-03-08,,,26,,1,,,,2,7,,34,,3,1,2,,,1,,,2,,,,,,,4,4,3,,,,4,2,4,1,,1,1,,15,2,,2,2,17,2,,1,,,,144,497,2,21,,
2020-03-09,,,19,4,,,,,,,,26,,5,4,2,,,,,,,3,,,1,,,2,6,2,1,,5,1,1,1,3,,1,3,,13,,,,5,36,4,,,,,,148,645,5,26,,
2020-03-10,,1,24,5,,,,,1,1,1,105,,5,8,4,,2,1,,,2,1,1,5,1,,,9,5,2,2,,,2,3,4,4,,,,,51,1,,1,4,31,2,2,,,,,291,936,5,31,,
2020-03-11,,3,20,17,,,1,4,,4,2,99,1,1,6,2,,,2,,1,,,,3,3,,1,3,9,,10,1,1,1,2,4,,,1,5,1,3,3,,,8,43,4,,,,,,269,1205,7,38,,
2020-03-12,1,,21,15,,,,2,,5,1,91,,2,7,,4,10,4,1,,5,1,1,,2,,5,18,11,3,6,,7,2,9,2,8,,3,,3,13,3,1,1,6,112,6,,1,,,,393,1598,4,42,,
2020-03-13,,,49,28,,1,3,4,6,6,4,111,1,1,14,3,1,13,5,2,,4,8,1,1,11,6,6,33,,3,17,5,,1,8,16,13,,5,,,15,5,2,1,21,93,19,15,,,3,1,565,2163,7,49,,
2020-03-14,,3,39,24,2,4,2,3,8,6,15,74,1,1,18,4,2,8,7,1,,3,13,,,8,6,,39,24,2,41,,8,6,6,12,11,,9,6,2,15,9,,,19,192,6,,2,,1,,662,2825,7,56,,
2020-03-15,,,49,30,3,,1,4,,3,4,127,,4,29,5,1,20,14,,,1,11,6,,6,10,4,33,33,4,26,4,9,9,7,5,4,,6,1,1,26,5,,6,29,116,16,,,3,1,,676,3501,6,62,,
2020-03-16,2,6,57,29,3,,,4,26,8,11,135,7,1,12,6,2,1,19,2,,,13,2,1,14,7,6,11,22,2,33,2,1,5,13,1,6,,15,5,1,33,6,14,4,80,221,13,1,8,,,1,872,4373,13,75,,
2020-03-17,3,2,80,23,4,3,2,2,,18,12,108,5,6,55,9,5,11,6,8,2,3,17,7,1,25,7,,56,25,4,60,9,7,14,21,7,16,1,27,9,8,21,20,15,9,87,424,20,,5,,,,1289,5662,21,96,,
2020-03-18,,7,126,33,2,3,3,5,,10,12,175,2,9,128,17,5,15,17,7,4,6,21,12,,34,15,11,112,51,9,84,13,34,13,25,19,10,1,28,8,10,38,28,10,13,162,1008,37,12,2,5,,1,2412,8074,26,122,,
2020-03-19,3,17,77,61,10,12,4,7,50,13,15,189,1,6,134,23,13,254,12,6,12,5,31,15,3,49,27,29,104,90,5,112,16,23,21,56,60,17,3,63,32,4,72,22,10,5,315,1770,52,11,3,,,,3944,12018,52,174,,
2020-03-20,3,19,331,86,11,8,5,8,14,26,34,148,4,,163,47,10,215,26,19,7,6,50,5,,51,3,34,131,133,7,87,90,40,44,74,51,20,3,35,6,8,85,42,4,11,148,2950,83,10,7,6,9,3,5420,17438,55,229,,
