Category: All categories

Month,crisis: (Worldwide)
2008-01,36
2008-02,37
2008-03,47
2008-04,55
2008-05,50
2008-06,47
2008-07,44
2008-08,40
2008-09,63
2008-10,100
2008-11,72
2008-12,59
2009-01,58
2009-02,65
2009-03,68
2009-04,60
2009-05,55
2009-06,46
2009-07,38
2009-08,38
2009-09,40
2009-10,43
2009-11,45
2009-12,37
2010-01,36
2010-02,39
2010-03,40
2010-04,42
2010-05,48
2010-06,37
2010-07,29
2010-08,30
2010-09,31
2010-10,35
2010-11,38
2010-12,32
2011-01,35
2011-02,40
2011-03,52
2011-04,43
2011-05,39
2011-06,36
2011-07,33
2011-08,38
2011-09,36
2011-10,40
2011-11,43
2011-12,36
2012-01,32
2012-02,34
2012-03,34
2012-04,35
2012-05,39
2012-06,34
2012-07,29
2012-08,29
2012-09,32
2012-10,35
2012-11,34
2012-12,28
2013-01,29
2013-02,32
2013-03,34
2013-04,35
2013-05,33
2013-06,27
2013-07,25
2013-08,27
2013-09,30
2013-10,33
2013-11,31
2013-12,26
2014-01,25
2014-02,29
2014-03,42
2014-04,36
2014-05,36
2014-06,32
2014-07,27
2014-08,27
2014-09,29
2014-10,29
2014-11,29
2014-12,26
2015-01,26
2015-02,28
2015-03,30
2015-04,31
2015-05,29
2015-06,30
2015-07,34
2015-08,27
2015-09,41
2015-10,34
2015-11,35
2015-12,28
2016-01,31
2016-02,34
2016-03,34
2016-04,36
2016-05,35
2016-06,30
2016-07,26
2016-08,25
2016-09,29
2016-10,31
2016-11,33
2016-12,28
2017-01,28
2017-02,29
2017-03,31
2017-04,33
2017-05,34
2017-06,30
2017-07,24
2017-08,25
2017-09,28
2017-10,30
2017-11,35
2017-12,31
2018-01,27
2018-02,32
2018-03,29
2018-04,32
2018-05,31
2018-06,27
2018-07,22
2018-08,25
2018-09,28
2018-10,29
2018-11,28
2018-12,26
2019-01,26
2019-02,28
2019-03,28
2019-04,30
2019-05,30
2019-06,28
2019-07,24
2019-08,26
2019-09,28
2019-10,31
2019-11,31
2019-12,42
2020-01,36
2020-02,30
2020-03,50
2020-04,51
