date,state,positive
12/31/2019,china,27
1/3/2020,china,44
1/5/2020,china,59
2/10/2020,china,48315
2/11/2020,china,55220
2/12/2020,china,58761
2/13/2020,china,63851
2/14/2020,china,66492
2/15/2020,china,68500
2/16/2020,china,70548
2/17/2020,china,72436
2/18/2020,china,74185
2/19/2020,china,75002
2/20/2020,china,75891
2/21/2020,china,76288
2/22/2020,china,76936
2/23/2020,china,77150
2/24/2020,china,77658
2/25/2020,china,78064
2/26/2020,china,78497
2/27/2020,china,78824
2/28/2020,china,79251
2/29/2020,china,79824
3/1/2020,china,80026
3/2/2020,china,80151
3/3/2020,china,80270
3/4/2020,china,80409
3/5/2020,china,80552
3/6/2020,china,80651
3/7/2020,china,80695
3/8/2020,china,80735
3/9/2020,china,80754
3/10/2020,china,80778
3/11/2020,china,80793
3/12/2020,china,80813
3/13/2020,china,80824
3/14/2020,china,80844
3/15/2020,china,80860
3/16/2020,china,80881
3/17/2020,china,80894
3/18/2020,china,80928
3/19/2020,china,80967
3/20/2020,china,81008
3/21/2020,china,81054
3/22/2020,china,81093
3/23/2020,china,81171
2/28/2020,czech,0
2/29/2020,czech,0
3/1/2020,czech,3
3/2/2020,czech,0
3/3/2020,czech,2
3/4/2020,czech,0
3/5/2020,czech,3
3/6/2020,czech,11
3/7/2020,czech,7
3/8/2020,czech,6
3/9/2020,czech,6
3/10/2020,czech,25
3/11/2020,czech,31
3/12/2020,czech,22
3/13/2020,czech,25
3/14/2020,czech,48
3/15/2020,czech,109
3/16/2020,czech,85
3/17/2020,czech,67
3/18/2020,czech,110
3/19/2020,czech,205
3/20/2020,czech,124
3/21/2020,czech,158
3/22/2020,czech,114
3/23/2020,czech,126
3/24/2020,czech,107
1/24/2020,france,3
1/28/2020,france,1
1/29/2020,france,1
1/30/2020,france,1
2/8/2020,france,5
2/14/2020,france,0
2/15/2020,france,1
2/25/2020,france,2
2/26/2020,france,4
2/27/2020,france,16
2/28/2020,france,14
2/29/2020,france,17
3/1/2020,france,58
3/2/2020,france,80
3/3/2020,france,9
3/4/2020,france,78
3/5/2020,france,132
3/6/2020,france,190
3/7/2020,france,387
3/8/2020,france,231
3/9/2020,france,219
3/10/2020,france,334
3/11/2020,france,497
3/12/2020,france,595
3/13/2020,france,785
3/14/2020,france,838
3/15/2020,france,924
3/16/2020,france,1210
3/17/2020,france,1097
3/18/2020,france,1401
3/19/2020,france,1574
3/20/2020,france,1683
3/21/2020,france,974
3/22/2020,france,1467
3/23/2020,france,2397
3/24/2020,france,2444
3/25/2020,france,3001
3/26/2020,france,2977
3/27/2020,france,2872
3/28/2020,france,3124
3/29/2020,france,2530
3/30/2020,france,2845
3/31/2020,france,3745
4/1/2020,france,3871
4/2/2020,france,3552
4/3/2020,france,3339
4/4/2020,france,2572
4/5/2020,france,1846
4/6/2020,france,2494
4/7/2020,france,2986
4/8/2020,france,2804
2/25/2020,germany,2
2/26/2020,germany,3
2/27/2020,germany,5
2/28/2020,germany,27
2/29/2020,germany,13
3/1/2020,germany,51
3/2/2020,germany,33
3/3/2020,germany,38
3/4/2020,germany,52
3/5/2020,germany,109
3/6/2020,germany,185
3/7/2020,germany,150
3/8/2020,germany,163
3/9/2020,germany,265
3/10/2020,germany,348
3/11/2020,germany,424
3/12/2020,germany,485
3/13/2020,germany,693
3/14/2020,germany,733
3/15/2020,germany,1043
3/16/2020,germany,1174
3/17/2020,germany,1144
3/18/2020,germany,1042
3/19/2020,germany,2801
3/20/2020,germany,2958
3/21/2020,germany,2705
3/22/2020,germany,1948
3/23/2020,germany,4062
3/24/2020,germany,4764
1/23/2020,hong_kong,2
1/24/2020,hong_kong,2
1/25/2020,hong_kong,5
1/26/2020,hong_kong,8
1/27/2020,hong_kong,8
1/28/2020,hong_kong,8
1/29/2020,hong_kong,10
1/30/2020,hong_kong,12
1/31/2020,hong_kong,13
2/1/2020,hong_kong,14
2/2/2020,hong_kong,15
2/3/2020,hong_kong,15
2/4/2020,hong_kong,18
2/5/2020,hong_kong,21
2/6/2020,hong_kong,24
2/7/2020,hong_kong,26
2/8/2020,hong_kong,26
2/9/2020,hong_kong,36
2/10/2020,hong_kong,42
2/11/2020,hong_kong,49
2/12/2020,hong_kong,50
2/13/2020,hong_kong,53
2/14/2020,hong_kong,56
2/15/2020,hong_kong,56
2/16/2020,hong_kong,57
2/17/2020,hong_kong,60
2/18/2020,hong_kong,62
2/19/2020,hong_kong,65
2/20/2020,hong_kong,68
2/21/2020,hong_kong,68
2/22/2020,hong_kong,69
2/23/2020,hong_kong,74
2/24/2020,hong_kong,81
2/25/2020,hong_kong,85
2/26/2020,hong_kong,91
2/27/2020,hong_kong,93
2/28/2020,hong_kong,94
2/29/2020,hong_kong,95
3/1/2020,hong_kong,98
3/2/2020,hong_kong,100
3/3/2020,hong_kong,100
3/4/2020,hong_kong,104
3/5/2020,hong_kong,104
3/6/2020,hong_kong,107
3/7/2020,hong_kong,109
3/8/2020,hong_kong,114
3/9/2020,hong_kong,115
3/10/2020,hong_kong,120
3/11/2020,hong_kong,129
3/12/2020,hong_kong,131
3/13/2020,hong_kong,137
3/14/2020,hong_kong,141
3/15/2020,hong_kong,148
3/16/2020,hong_kong,157
3/17/2020,hong_kong,167
3/18/2020,hong_kong,192
3/19/2020,hong_kong,208
3/20/2020,hong_kong,256
3/21/2020,hong_kong,274
3/22/2020,hong_kong,317
3/23/2020,hong_kong,357
3/24/2020,hong_kong,386
2/19/2020,iran,2
2/20/2020,iran,3
2/21/2020,iran,13
2/22/2020,iran,10
2/23/2020,iran,15
2/24/2020,iran,18
2/25/2020,iran,34
2/26/2020,iran,44
2/27/2020,iran,106
2/28/2020,iran,143
2/29/2020,iran,205
3/1/2020,iran,385
3/2/2020,iran,523
3/3/2020,iran,835
3/4/2020,iran,586
3/5/2020,iran,591
3/6/2020,iran,1234
3/7/2020,iran,1076
3/8/2020,iran,743
3/9/2020,iran,595
3/10/2020,iran,881
3/11/2020,iran,958
3/12/2020,iran,1075
3/13/2020,iran,1289
3/14/2020,iran,1365
3/15/2020,iran,1209
3/16/2020,iran,1053
3/17/2020,iran,1178
3/18/2020,iran,1192
3/19/2020,iran,1046
3/20/2020,iran,1237
3/21/2020,iran,966
3/22/2020,iran,1028
1/31/2020,italy,2
2/6/2020,italy,1
2/21/2020,italy,17
2/22/2020,italy,59
2/23/2020,italy,71
2/24/2020,italy,77
2/25/2020,italy,93
2/26/2020,italy,125
2/27/2020,italy,205
2/28/2020,italy,238
2/29/2020,italy,240
3/1/2020,italy,566
3/2/2020,italy,342
3/3/2020,italy,466
3/4/2020,italy,587
3/5/2020,italy,769
3/6/2020,italy,778
3/7/2020,italy,1247
3/8/2020,italy,1492
3/9/2020,italy,1797
3/10/2020,italy,977
3/11/2020,italy,2313
3/12/2020,italy,2651
3/13/2020,italy,2547
3/14/2020,italy,3497
3/15/2020,italy,3590
3/16/2020,italy,3233
3/17/2020,italy,3526
3/18/2020,italy,4207
3/19/2020,italy,5322
3/20/2020,italy,5986
3/21/2020,italy,6557
3/22/2020,italy,5560
3/23/2020,italy,4789
3/24/2020,italy,5249
3/25/2020,italy,5210
3/26/2020,italy,6153
3/27/2020,italy,5959
3/28/2020,italy,5974
3/29/2020,italy,5217
3/30/2020,italy,4050
3/31/2020,italy,4053
4/1/2020,italy,4782
4/2/2020,italy,4668
4/3/2020,italy,4585
4/4/2020,italy,4805
4/5/2020,italy,4316
4/6/2020,italy,3599
4/7/2020,italy,3039
4/8/2020,italy,3836
4/9/2020,italy,4204
4/10/2020,italy,3951
4/11/2020,italy,4694
4/12/2020,italy,4092
4/13/2020,italy,3153
4/14/2020,italy,2972
4/15/2020,italy,2667
4/16/2020,italy,3786
1/16/2020,japan,1
1/24/2020,japan,1
1/25/2020,japan,1
1/26/2020,japan,1
1/28/2020,japan,3
1/29/2020,japan,1
1/30/2020,japan,6
1/31/2020,japan,3
2/1/2020,japan,3
2/4/2020,japan,3
2/5/2020,japan,2
2/8/2020,japan,1
2/11/2020,japan,2
2/12/2020,japan,1
2/13/2020,japan,4
2/14/2020,japan,8
2/15/2020,japan,12
2/16/2020,japan,6
2/17/2020,japan,7
2/18/2020,japan,8
2/19/2020,japan,10
2/20/2020,japan,10
2/21/2020,japan,15
2/22/2020,japan,26
2/23/2020,japan,12
2/24/2020,japan,13
2/25/2020,japan,11
2/26/2020,japan,18
2/27/2020,japan,25
2/28/2020,japan,20
2/29/2020,japan,9
3/1/2020,japan,14
3/2/2020,japan,18
3/3/2020,japan,19
3/4/2020,japan,36
3/5/2020,japan,31
3/6/2020,japan,57
3/7/2020,japan,44
3/8/2020,japan,33
3/9/2020,japan,28
3/10/2020,japan,59
3/11/2020,japan,53
3/12/2020,japan,56
3/13/2020,japan,36
3/14/2020,japan,62
3/15/2020,japan,32
3/16/2020,japan,15
3/17/2020,japan,44
3/18/2020,japan,39
3/19/2020,japan,36
3/20/2020,japan,57
3/21/2020,japan,40
3/22/2020,japan,45
3/23/2020,japan,38
1/25/2020,malaysia,4
1/28/2020,malaysia,3
1/30/2020,malaysia,1
2/3/2020,malaysia,2
2/5/2020,malaysia,4
2/6/2020,malaysia,1
2/7/2020,malaysia,1
2/8/2020,malaysia,1
2/9/2020,malaysia,1
2/13/2020,malaysia,1
2/14/2020,malaysia,2
2/15/2020,malaysia,1
2/27/2020,malaysia,1
2/28/2020,malaysia,2
3/1/2020,malaysia,4
3/3/2020,malaysia,7
3/4/2020,malaysia,14
3/5/2020,malaysia,5
3/6/2020,malaysia,28
3/7/2020,malaysia,10
3/8/2020,malaysia,6
2/27/2020,netherlands,1
2/28/2020,netherlands,2
2/29/2020,netherlands,7
3/1/2020,netherlands,10
3/2/2020,netherlands,18
3/3/2020,netherlands,24
3/4/2020,netherlands,38
3/5/2020,netherlands,82
3/6/2020,netherlands,128
3/7/2020,netherlands,188
3/8/2020,netherlands,265
3/9/2020,netherlands,321
3/10/2020,netherlands,382
3/11/2020,netherlands,503
3/12/2020,netherlands,614
3/13/2020,netherlands,804
3/14/2020,netherlands,959
3/15/2020,netherlands,1135
3/16/2020,netherlands,1413
3/17/2020,netherlands,1705
3/18/2020,netherlands,2051
3/19/2020,netherlands,2460
3/20/2020,netherlands,2994
3/21/2020,netherlands,3631
3/22/2020,netherlands,4204
3/23/2020,netherlands,4749
3/24/2020,netherlands,5560
1/30/2020,philippines,1
2/2/2020,philippines,2
2/5/2020,philippines,3
2/10/2020,philippines,3
3/5/2020,philippines,5
3/7/2020,philippines,6
3/8/2020,philippines,10
3/9/2020,philippines,24
3/10/2020,philippines,33
3/11/2020,philippines,49
3/12/2020,philippines,52
3/13/2020,philippines,64
3/14/2020,philippines,111
3/15/2020,philippines,140
