County_Name,State_Name,Land_Area,Population_Density,Census_2010,Estimates_Base,Estimate_2010,Estimate_2011,Estimate_2012,Estimate_2013,Estimate_2014,Estimate_2015,Estimate_2016,Estimate_2017,Estimate_2018,Estimate_2019
Autauga County,Alabama,1543.6,90/sq mi (35/km2),54571,54597,54773,55227,54954,54727,54893,54864,55243,55390,55533,55869
Baldwin County,Alabama,4100,137/sq mi (53/km2),182265,182265,183112,186558,190145,194885,199183,202939,207601,212521,217855,223234
Barbour County,Alabama,2290,30/sq mi (12/km2),27457,27455,27327,27341,27169,26937,26755,26283,25806,25157,24872,24686
Bibb County,Alabama,1610,37/sq mi (14/km2),22915,22915,22870,22745,22667,22521,22553,22566,22586,22550,22367,22394
Blount County,Alabama,1670,88/sq mi (34/km2),57322,57322,57376,57560,57580,57619,57526,57526,57494,57787,57771,57826
Bullock County,Alabama,1610,17/sq mi (6.7/km2),10914,10911,10876,10675,10606,10549,10663,10400,10389,10176,10174,10101
Butler County,Alabama,2010,27/sq mi (10/km2),20947,20940,20932,20866,20670,20356,20327,20162,20012,19888,19631,19448
Calhoun County,Alabama,1570,190/sq mi (75/km2),118572,118526,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605
Chambers County,Alabama,1550,57/sq mi (22/km2),34215,34169,34122,34033,34104,34139,33977,33996,33745,33707,33600,33254
Cherokee County,Alabama,1430,43/sq mi (17/km2),25989,25979,25963,25989,25958,26017,25895,25732,25768,25805,26014,26196
Chilton County,Alabama,1790,62/sq mi (24/km2),43643,43632,43653,43689,43582,43628,43760,43700,43866,44120,44163,44428
Choctaw County,Alabama,2370,15/sq mi (5.8/km2),13859,13858,13849,13609,13563,13397,13317,13231,13045,12925,12833,12589
Clarke County,Alabama,3210,21/sq mi (8.0/km2),25833,25833,25766,25587,25155,25123,24864,24698,24340,24063,23918,23622
Clay County,Alabama,1560,23/sq mi (8.9/km2),13932,13930,13898,13687,13434,13404,13441,13415,13393,13350,13294,13235
Cleburne County,Alabama,1500,27/sq mi (10/km2),14972,14972,15004,14928,14889,14976,15026,14914,14848,14899,15010,14910
Coffee County,Alabama,1760,73/sq mi (28/km2),49948,49955,50208,50444,51141,50681,50657,50963,51202,51853,51950,52342
Colbert County,Alabama,1540,88/sq mi (34/km2),54428,54428,54524,54539,54570,54529,54462,54417,54497,54695,55004,55241
Conecuh County,Alabama,2200,16/sq mi (6.0/km2),13228,13236,13236,13195,13046,12912,12677,12678,12500,12431,12292,12067
Coosa County,Alabama,1690,17/sq mi (6.7/km2),11539,11756,11780,11486,11346,11254,11037,10934,10819,10724,10643,10663
