,Weighted_Density,Standard_Population_Density,Later_Count_After_First_Hitting_5_Deaths_In_A_Day,Later_Count_After_First_Hitting_5_Deaths_Total,Log_Weighted_Density,Log_Standard_Population_Density,Log_Later_Count_After_First_Hitting_5_Deaths_In_A_Day,Log_Later_Count_After_First_Hitting_5_Deaths_Total,Later_Count,Log_Later_Count
AL,93.1697208411123,255.8372811063421,74.0,56,4.534422785226357,5.544541621708747,4.30406509320417,4.02535169073515,74.0,4.30406509320417
AK,26.96568125490974,3.399448426303137,9.0,6,3.2945649928835397,1.2236131909039012,2.1972245773362196,1.791759469228055,9.0,2.1972245773362196
AZ,125.03620476952932,154.3509025957914,52.0,32,4.828603333521502,5.039228598652427,3.9512437185814275,3.4657359027997265,52.0,3.9512437185814275
AR,68.21300892514432,152.1112108688071,18.0,16,4.222635293362573,5.024611903773245,2.8903717578961645,2.772588722239781,18.0,2.8903717578961645
CA,710.7013687118418,653.8793752137726,65.0,27,6.566252325695413,6.482922892876606,4.174387269895637,3.295836866004329,65.0,4.174387269895637
CO,365.9634075542508,133.4810211935283,80.0,31,5.902533349043126,4.893959304389781,4.382026634673881,3.4339872044851463,80.0,4.382026634673881
CT,9375.895064244914,1998.2777866369,112.0,69,9.145897319800763,7.600040981895198,4.718498871295094,4.23410650459726,112.0,4.718498871295094
DE,336.83211067409263,1259.9766197741233,16.0,16,5.819584618304829,7.138848444038541,2.772588722239781,2.772588722239781,16.0,2.772588722239781
DC,4463.940543959519,4466.765822784811,32.0,12,8.403787184966964,8.404419896155424,3.4657359027997265,2.4849066497880004,32.0,3.4657359027997265
FL,399.7708265026998,964.3668881896793,34.0,14,5.9908914491754786,6.871471811613149,3.5263605246161616,2.6390573296152584,34.0,3.5263605246161616
GA,408.03392818692276,460.78214810786864,80.0,64,6.011350328267673,6.132925367545872,4.382026634673881,4.1588830833596715,80.0,4.382026634673881
HI,441.6357715595815,579.4286744815149,10.0,9,6.090485496119661,6.362042574068403,2.302585092994046,2.1972245773362196,10.0,2.302585092994046
