state,date,positive
AK,2020-03-06,0.0
AK,2020-03-07,0.0
AK,2020-03-08,0.0
AK,2020-03-09,0.0
AK,2020-03-10,0.0
AK,2020-03-11,0.0
AK,2020-03-12,0.0
AK,2020-03-13,1.0
AK,2020-03-14,1.0
AK,2020-03-15,1.0
AK,2020-03-16,1.0
AK,2020-03-17,3.0
AK,2020-03-18,6.0
AK,2020-03-19,6.0
AK,2020-03-20,12.0
AK,2020-03-21,14.0
AK,2020-03-22,22.0
AK,2020-03-23,22.0
AK,2020-03-24,36.0
AK,2020-03-25,42.0
AK,2020-03-26,59.0
AK,2020-03-27,69.0
AK,2020-03-28,85.0
AK,2020-03-29,102.0
AK,2020-03-30,114.0
AK,2020-03-31,119.0
AK,2020-04-01,133.0
AK,2020-04-02,143.0
AK,2020-04-03,157.0
AK,2020-04-04,171.0
AK,2020-04-05,185.0
AK,2020-04-06,191.0
AK,2020-04-07,213.0
AK,2020-04-08,226.0
AK,2020-04-09,235.0
AK,2020-04-10,246.0
AK,2020-04-11,257.0
AK,2020-04-12,272.0
AK,2020-04-13,277.0
AK,2020-04-14,285.0
AK,2020-04-15,293.0
AK,2020-04-16,300.0
AK,2020-04-17,309.0
AK,2020-04-18,314.0
AK,2020-04-19,319.0
AK,2020-04-20,321.0
AK,2020-04-21,329.0
AK,2020-04-22,335.0
AK,2020-04-23,337.0
AK,2020-04-24,339.0
AK,2020-04-25,339.0
AK,2020-04-26,341.0
AK,2020-04-27,345.0
AK,2020-04-28,351.0
AL,2020-03-07,0.0
AL,2020-03-08,0.0
AL,2020-03-09,0.0
AL,2020-03-10,0.0
AL,2020-03-11,0.0
AL,2020-03-12,0.0
AL,2020-03-13,1.0
AL,2020-03-14,6.0
AL,2020-03-15,12.0
AL,2020-03-16,28.0
AL,2020-03-17,36.0
AL,2020-03-18,46.0
AL,2020-03-19,68.0
AL,2020-03-20,81.0
AL,2020-03-21,124.0
AL,2020-03-22,138.0
AL,2020-03-23,167.0
AL,2020-03-24,215.0
AL,2020-03-25,283.0
AL,2020-03-26,506.0
AL,2020-03-27,587.0
AL,2020-03-28,696.0
AL,2020-03-29,806.0
AL,2020-03-30,859.0
AL,2020-03-31,981.0
AL,2020-04-01,1077.0
AL,2020-04-02,1233.0
AL,2020-04-03,1432.0
AL,2020-04-04,1580.0
AL,2020-04-05,1796.0
AL,2020-04-06,1968.0
AL,2020-04-07,2119.0
AL,2020-04-08,2369.0
AL,2020-04-09,2769.0
AL,2020-04-10,2968.0
AL,2020-04-11,3191.0
AL,2020-04-12,3525.0
AL,2020-04-13,3734.0
AL,2020-04-14,3876.0
AL,2020-04-15,4113.0
AL,2020-04-16,4345.0
AL,2020-04-17,4530.0
AL,2020-04-18,4655.0
AL,2020-04-19,4837.0
AL,2020-04-20,5025.0
AL,2020-04-21,5231.0
AL,2020-04-22,5465.0
AL,2020-04-23,5778.0
AL,2020-04-24,5832.0
AL,2020-04-25,6137.0
AL,2020-04-26,6270.0
AL,2020-04-27,6499.0
AL,2020-04-28,6687.0
AR,2020-03-06,0.0
AR,2020-03-07,0.0
AR,2020-03-08,0.0
