State_Name,County_Name,Census_2010,Estimates_Base,Estimate_2010,Estimate_2011,Estimate_2012,Estimate_2013,Estimate_2014,Estimate_2015,Estimate_2016,Estimate_2017,Estimate_2018,Estimate_2019,Land_Area,Population_Density,Wikipedia_URL,Wikipedia_ID,County_Coordinates,Area_Water,Area_Total,Time_Zones,Time_Zones_Summer_DST,Founded,Seat,Website,Congressional_Districts,Largest_Cities,Named_For,County,Largest_Township,Area_Codes,FIPS_Codes,Largest_Community,GNIS_Feature_IDs,Incorporated,Largest_Village,County_Seat,Parish,Regions,Government_Mayor,Elevation,Mottos,Government_Type,ZIP_Codes,Independent_City,Nicknames,Largest_Borough,Highest_Elevation,Designated,Government_Body,Boroughs,Demonyms,Established,Government_Commissioner,Metro_Area,Area_Independent_City,Shire_Town,State_Routes,Area_Rank,Interstates,Settled,U_S_Routes,Largest_Municipality,Waterways,Government_Vice_Mayor,Indiana_House_Of_Representatives_Districts,Largest_CDP,Airports,Area_Percentage,Area_Metro,City,Government_State_Senate,Public_Transit,Government_District_Attorney,Area_County,Area_Rank_Region,GDP,Indiana_Senate_Districts,Incorporated_As_Town,GDP_2018,Government_Council,Incorporated_As_City,CSA,Government_Manager,Government_President,Incorporated_Municipalities,County_Seat_And_Largest_City,Government_County_Board,ZIP_Code_Prefixes,Metro,Metropolitan_Area,Incorporated_Cities,Government_Board_President,Pre_Incorporation_County,Government_County_Administrator,Primary_Airport,Parish_Seat,Government_Supervisors,Formed,Government_Assembly_Members,Zip_Code,South_Shore_Line_Stations,Government_Executive,City_And_County,Amtrak_Stations,Southern_Portion_Summer_DST,West_Wendover,Lowest_Elevation,Government_US_House,Kenton_Unofficially,Nara_Visa_Unofficially,Northern_Portion_Summer_DST,Southern_Portion,Lowest_Elevation_At_Lake_Michigan,Consolidated,Organized,GDP_Per_Capita,Northern_Portion,West_Wendover_Summer_DST,ZIP,Nara_Visa_Unofficially_Summer_DST,Secondary_Airport,Commuter_Rail,Kenton_Unofficially_Summer_DST,Major_Airport,Elevation_Mean,Government_Chief_Executive_Officer,Founded_By,Government_State_Reps,Existed,Government_Governing_Body,Major_Waterways,Area_Land_CDP,South_Of_Salmon_River_Summer_DST,Abolished,GNIS_ID,Area_Consolidated_City_County,Government_Comptroller,Area_City,Most_Of_County,Type,Western_Portion_Summer_DST,Incorporated_Independent_City,Rapid_Transit,Area_Unified_Borough,Re_Organized,Nan_Summer_DST,Western_Part_Of_County_Summer_DST,Geocode,Government_US_Rep,Government_Delegate,Government_State_Assemblyman,Southern_Fifth,Southern_Fifth_Summer_DST,Government_President_Board_Of_Aldermen,Government_City_Attorney,Most_Of_County_Summer_DST,Eastern_Part_Of_County,Eastern_Portion_Summer_DST,Government_County_Council,Created,Eastern_Portion,Area_Urban,Western_Portion,Government_Virginia_Senate,Interstate_And_US_Routes,Government_Board_Of_County_Commissioners,Government_Administrative_Officer,Area_State_Capital_City_And_Borough,Primary,Highways_Freeways,Home_Rule_City,Largest_Settlement,Northwestern,Government_Houses_Of_Delegates,Named,Government_Alaska_House,Government_United_States_Representatives,Founded_Date,Area_Water_CDP,Borough_Seat,Government_Commissioner_Of_Revenue,U_S_And_State_Routes,Area_City_And_County,Dimensions_Width,Reference_No,Area_Urban_CDP,Government_US_Senate,Historic_Colony,Area_Borough,Northwestern_Summer_DST,American,Mission,Colonized,Districts,North_Of_Salmon_River_Summer_DST,Borough_Created,Government_Council_Chair,South_Of_Salmon_River,Area_State_Capital_And_Consolidated_City_County,Area_Density,Highest_Elevation_SW_Galena_Twp,North_Of_Salmon_River,Government_Alaska_Senate,Chartered,State_Highways,Largest_Place,Dimensions_Length,English,Primary_Summer_DST,Western_Part_Of_County,ZIP_Code_Format,Government_Treasurer
Alabama,Autauga County,54571,54597,54773,55227.0,54954.0,54727.0,54893.0,54864.0,55243.0,55390.0,55533.0,55869,1543.6,90/sq mi (35/km2),"https://en.wikipedia.org/wiki/Autauga_County,_Alabama",76923,32°32′12″N 86°38′54″W / 32.536666666667°N 86.648333333333°W,,,,,"November 21, 1818",Prattville,www.autaugaco.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Baldwin County,182265,182265,183112,186558.0,190145.0,194885.0,199183.0,202939.0,207601.0,212521.0,217855.0,223234,4100.0,137/sq mi (53/km2),"https://en.wikipedia.org/wiki/Baldwin_County,_Alabama",76924,30°43′59″N 87°43′13″W / 30.733055555556°N 87.720277777778°W,,,,,"December 21[1], 1809[1]",Bay Minette,www.co.baldwin.al.us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Barbour County,27457,27455,27327,27341.0,27169.0,26937.0,26755.0,26283.0,25806.0,25157.0,24872.0,24686,2290.0,30/sq mi (12/km2),"https://en.wikipedia.org/wiki/Barbour_County,_Alabama",76925,31°51′57″N 85°23′46″W / 31.865833333333°N 85.396111111111°W,,,,,"December 18, 1832",Clayton,,,,James Barbour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Bibb County,22915,22915,22870,22745.0,22667.0,22521.0,22553.0,22566.0,22586.0,22550.0,22367.0,22394,1610.0,37/sq mi (14/km2),"https://en.wikipedia.org/wiki/Bibb_County,_Alabama",76926,32°59′52″N 87°07′35″W / 32.997777777778°N 87.126388888889°W,,,,,"February 7, 1818",Centreville,www.bibbal.com,,,William W. Bibb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Blount County,57322,57322,57376,57560.0,57580.0,57619.0,57526.0,57526.0,57494.0,57787.0,57771.0,57826,1670.0,88/sq mi (34/km2),"https://en.wikipedia.org/wiki/Blount_County,_Alabama",76928,33°58′N 86°35′W / 33.97°N 86.58°W,,,,,"February 6, 1818",Oneonta,www.blountcountyal.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Bullock County,10914,10911,10876,10675.0,10606.0,10549.0,10663.0,10400.0,10389.0,10176.0,10174.0,10101,1610.0,17/sq mi (6.7/km2),"https://en.wikipedia.org/wiki/Bullock_County,_Alabama",76932,32°05′52″N 85°43′02″W / 32.097777777778°N 85.717222222222°W,,,,,"December 5, 1866",Union Springs,bullockcountyalrev.com,,,Edward Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Butler County,20947,20940,20932,20866.0,20670.0,20356.0,20327.0,20162.0,20012.0,19888.0,19631.0,19448,2010.0,27/sq mi (10/km2),"https://en.wikipedia.org/wiki/Butler_County,_Alabama",76933,31°44′58″N 86°40′56″W / 31.749444444444°N 86.682222222222°W,,,,,"December 13, 1819",Greenville,butlercountyal.com,,,William Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Calhoun County,118572,118526,118408,117744.0,117190.0,116471.0,115917.0,115469.0,114973.0,114710.0,114331.0,113605,1570.0,190/sq mi (75/km2),"https://en.wikipedia.org/wiki/Calhoun_County,_Alabama",76938,33°46′10″N 85°49′15″W / 33.769444444444°N 85.820833333333°W,,,,,"December 18, 1832 as Benton County",Anniston,www.calhouncounty.org,,,John C. Calhoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Chambers County,34215,34169,34122,34033.0,34104.0,34139.0,33977.0,33996.0,33745.0,33707.0,33600.0,33254,1550.0,57/sq mi (22/km2),"https://en.wikipedia.org/wiki/Chambers_County,_Alabama",76943,32°54′40″N 85°23′38″W / 32.911111111111°N 85.393888888889°W,,,,,"December 18, 1832",LaFayette,www.chamberscountyal.gov,,,Henry H. Chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Cherokee County,25989,25979,25963,25989.0,25958.0,26017.0,25895.0,25732.0,25768.0,25805.0,26014.0,26196,1430.0,43/sq mi (17/km2),"https://en.wikipedia.org/wiki/Cherokee_County,_Alabama",76957,34°10′11″N 85°35′39″W / 34.169722222222°N 85.594166666667°W,,,,,"January 9, 1836",Centre,www.cherokeecounty-al.gov,"3rd, 4th",,Cherokee Nation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
