Tuning Logit hyper-parameters

Tuning hyper-parameters for precision

Best parameters set found on development set:

{'C': 10.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l1', 'solver': 'saga', 'tol': 0.0001}

Grid scores on development set:

0.278 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'max_iter': 250, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 1e-05}
0.278 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'max_iter': 250, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.0001}
0.278 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'max_iter': 250, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.001}
0.278 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'max_iter': 250, 'penalty': 'l1', 'solver': 'saga', 'tol': 1e-05}
0.278 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'max_iter': 250, 'penalty': 'l1', 'solver': 'saga', 'tol': 0.0001}
0.278 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'max_iter': 250, 'penalty': 'l1', 'solver': 'saga', 'tol': 0.001}
0.278 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 1e-05}
0.278 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.0001}
0.278 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.001}
0.278 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l1', 'solver': 'saga', 'tol': 1e-05}
0.278 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l1', 'solver': 'saga', 'tol': 0.0001}
0.278 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l1', 'solver': 'saga', 'tol': 0.001}
0.278 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 1e-05}
0.278 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.0001}
0.278 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.001}
0.278 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga', 'tol': 1e-05}
0.278 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga', 'tol': 0.0001}
0.278 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga', 'tol': 0.001}
0.222 (+/-0.001) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 250, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 1e-05}
0.222 (+/-0.001) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 250, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.0001}
0.222 (+/-0.001) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 250, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.001}
0.245 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 250, 'penalty': 'l1', 'solver': 'saga', 'tol': 1e-05}
0.256 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 250, 'penalty': 'l1', 'solver': 'saga', 'tol': 0.0001}
0.233 (+/-0.045) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 250, 'penalty': 'l1', 'solver': 'saga', 'tol': 0.001}
0.222 (+/-0.001) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 1e-05}
0.222 (+/-0.001) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.0001}
0.222 (+/-0.001) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.001}
0.233 (+/-0.045) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l1', 'solver': 'saga', 'tol': 1e-05}
0.255 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l1', 'solver': 'saga', 'tol': 0.0001}
0.267 (+/-0.045) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l1', 'solver': 'saga', 'tol': 0.001}
0.222 (+/-0.001) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 1e-05}
0.222 (+/-0.001) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.0001}
