	lhs		rhs	support	confidence	lift
1	{kansas, usgs}	=>	{caldwell}	0.01589404	1.0000000	16.413043
2	{caldwell, usgs}	=>	{kansas}	0.01589404	1.0000000	37.750000
3	{kansas, km}	=>	{caldwell}	0.01721854	1.0000000	16.413043
4	{caldwell, km}	=>	{kansas}	0.01721854	1.0000000	37.750000
5	{kansas, utc}	=>	{caldwell}	0.01854305	1.0000000	16.413043
6	{caldwell, utc}	=>	{kansas}	0.01854305	1.0000000	37.750000
7	{bill, county}	=>	{hays}	0.01589404	1.0000000	7.330097
8	{bill, hays}	=>	{county}	0.01589404	1.0000000	9.679487
9	{county, groundwater}	=>	{hays}	0.01986755	1.0000000	7.330097
10	{groundwater, hays}	=>	{county}	0.01986755	1.0000000	9.679487
11	{beready, shelter}	=>	{tx}	0.01589404	1.0000000	8.483146
12	{beready, tx}	=>	{shelter}	0.01589404	1.0000000	53.928571
13	{shelter, tx}	=>	{beready}	0.01589404	0.9230769	58.076923
14	{shelter, tornado}	=>	{fema}	0.01589404	1.0000000	30.200000
15	{fema, tornado}	=>	{shelter}	0.01589404	1.0000000	53.928571
16	{fema, shelter}	=>	{tornado}	0.01589404	1.0000000	62.916667
17	{shelter, tornado}	=>	{txwx}	0.01589404	1.0000000	14.803922
18	{tornado, txwx}	=>	{shelter}	0.01589404	1.0000000	53.928571
19	{shelter, txwx}	=>	{tornado}	0.01589404	1.0000000	62.916667
20	{shelter, tornado}	=>	{tx}	0.01589404	1.0000000	8.483146
21	{tornado, tx}	=>	{shelter}	0.01589404	1.0000000	53.928571
22	{shelter, tx}	=>	{tornado}	0.01589404	0.9230769	58.076923
23	{shelter, tornado}	=>	{texas}	0.01589404	1.0000000	8.206522
24	{texas, tornado}	=>	{shelter}	0.01589404	1.0000000	53.928571
25	{shelter, texas}	=>	{tornado}	0.01589404	1.0000000	62.916667
26	{fema, tornado}	=>	{txwx}	0.01589404	1.0000000	14.803922
27	{tornado, txwx}	=>	{fema}	0.01589404	1.0000000	30.200000
28	{fema, txwx}	=>	{tornado}	0.01589404	1.0000000	62.916667
29	{fema, tornado}	=>	{tx}	0.01589404	1.0000000	8.483146
30	{tornado, tx}	=>	{fema}	0.01589404	1.0000000	30.200000
31	{fema, tx}	=>	{tornado}	0.01589404	1.0000000	62.916667
32	{fema, tornado}	=>	{texas}	0.01589404	1.0000000	8.206522
33	{texas, tornado}	=>	{fema}	0.01589404	1.0000000	30.200000
34	{fema, texas}	=>	{tornado}	0.01589404	0.9230769	58.076923
35	{tornado, txwx}	=>	{tx}	0.01589404	1.0000000	8.483146
36	{tornado, tx}	=>	{txwx}	0.01589404	1.0000000	14.803922
37	{tornado, txwx}	=>	{texas}	0.01589404	1.0000000	8.206522
38	{texas, tornado}	=>	{txwx}	0.01589404	1.0000000	14.803922
39	{texas, txwx}	=>	{tornado}	0.01589404	0.8571429	53.928571
40	{tornado, tx}	=>	{texas}	0.01589404	1.0000000	8.206522
41	{texas, tornado}	=>	{tx}	0.01589404	1.0000000	8.483146
42	{shelter, storm}	=>	{tx}	0.01589404	1.0000000	8.483146
43	{shelter, tx}	=>	{storm}	0.01589404	0.9230769	33.186813
44	{storm, tx}	=>	{shelter}	0.01589404	1.0000000	53.928571
45	{fema, shelter}	=>	{txwx}	0.01589404	1.0000000	14.803922
46	{shelter, txwx}	=>	{fema}	0.01589404	1.0000000	30.200000
47	{fema, txwx}	=>	{shelter}	0.01589404	1.0000000	53.928571
48	{fema, shelter}	=>	{tx}	0.01589404	1.0000000	8.483146
49	{shelter, tx}	=>	{fema}	0.01589404	0.9230769	27.876923
50	{fema, tx}	=>	{shelter}	0.01589404	1.0000000	53.928571
51	{fema, shelter}	=>	{texas}	0.01589404	1.0000000	8.206522
52	{shelter, texas}	=>	{fema}	0.01589404	1.0000000	30.200000
53	{fema, texas}	=>	{shelter}	0.01589404	0.9230769	49.780220
54	{shelter, txwx}	=>	{tx}	0.01589404	1.0000000	8.483146
55	{shelter, tx}	=>	{txwx}	0.01589404	0.9230769	13.665158
56	{shelter, txwx}	=>	{texas}	0.01589404	1.0000000	8.206522
57	{shelter, texas}	=>	{txwx}	0.01589404	1.0000000	14.803922
58	{texas, txwx}	=>	{shelter}	0.01589404	0.8571429	46.224490
59	{shelter, tx}	=>	{texas}	0.01589404	0.9230769	7.575251
60	{shelter, texas}	=>	{tx}	0.01589404	1.0000000	8.483146
61	{blanco, wimberley}	=>	{river}	0.01589404	1.0000000	22.878788
62	{river, wimberley}	=>	{blanco}	0.01589404	0.9230769	25.811966
63	{fema, txwx}	=>	{tx}	0.01589404	1.0000000	8.483146
64	{fema, tx}	=>	{txwx}	0.01589404	1.0000000	14.803922
65	{fema, txwx}	=>	{texas}	0.01589404	1.0000000	8.206522
66	{fema, texas}	=>	{txwx}	0.01589404	0.9230769	13.665158
67	{texas, txwx}	=>	{fema}	0.01589404	0.8571429	25.885714
68	{fema, tx}	=>	{texas}	0.01589404	1.0000000	8.206522
69	{fema, texas}	=>	{tx}	0.01589404	0.9230769	7.830596
70	{marcos, river}	=>	{san}	0.01589404	1.0000000	3.852041
71	{river, san}	=>	{marcos}	0.01589404	0.9230769	3.592387
72	{, dfwwx}	=>	{txwx}	0.02649007	1.0000000	14.803922
73	{dfwwx, txwx}	=>	{}	0.02649007	0.8333333	11.439394
74	{, txwx}	=>	{dfwwx}	0.02649007	0.9523810	28.761905
75	{victims, wimberley}	=>	{flood}	0.02251656	0.9444444	8.695799
76	{texas, txwx}	=>	{tx}	0.01589404	0.8571429	7.271268
77	{marcos, tx}	=>	{san}	0.07549669	0.9661017	3.721463
78	{san, tx}	=>	{marcos}	0.07549669	1.0000000	3.891753
79	{county, flood}	=>	{hays}	0.02251656	0.8500000	6.230583
80	{flood, hays}	=>	{county}	0.02251656	0.8095238	7.835775
81	{flood, marcos}	=>	{san}	0.02119205	1.0000000	3.852041
82	{flood, san}	=>	{marcos}	0.02119205	1.0000000	3.891753
83	{marcos, texas}	=>	{san}	0.02913907	1.0000000	3.852041
84	{san, texas}	=>	{marcos}	0.02913907	0.9565217	3.722546
85	{fema, shelter, tornado}	=>	{txwx}	0.01589404	1.0000000	14.803922
86	{shelter, tornado, txwx}	=>	{fema}	0.01589404	1.0000000	30.200000
87	{fema, tornado, txwx}	=>	{shelter}	0.01589404	1.0000000	53.928571
88	{fema, shelter, txwx}	=>	{tornado}	0.01589404	1.0000000	62.916667
89	{fema, shelter, tornado}	=>	{tx}	0.01589404	1.0000000	8.483146
90	{shelter, tornado, tx}	=>	{fema}	0.01589404	1.0000000	30.200000
91	{fema, tornado, tx}	=>	{shelter}	0.01589404	1.0000000	53.928571
92	{fema, shelter, tx}	=>	{tornado}	0.01589404	1.0000000	62.916667
93	{fema, shelter, tornado}	=>	{texas}	0.01589404	1.0000000	8.206522
94	{shelter, texas, tornado}	=>	{fema}	0.01589404	1.0000000	30.200000
95	{fema, texas, tornado}	=>	{shelter}	0.01589404	1.0000000	53.928571
96	{fema, shelter, texas}	=>	{tornado}	0.01589404	1.0000000	62.916667
97	{shelter, tornado, txwx}	=>	{tx}	0.01589404	1.0000000	8.483146
98	{shelter, tornado, tx}	=>	{txwx}	0.01589404	1.0000000	14.803922
99	{tornado, tx, txwx}	=>	{shelter}	0.01589404	1.0000000	53.928571
100	{shelter, tx, txwx}	=>	{tornado}	0.01589404	1.0000000	62.916667
101	{shelter, tornado, txwx}	=>	{texas}	0.01589404	1.0000000	8.206522
102	{shelter, texas, tornado}	=>	{txwx}	0.01589404	1.0000000	14.803922
103	{texas, tornado, txwx}	=>	{shelter}	0.01589404	1.0000000	53.928571
104	{shelter, texas, txwx}	=>	{tornado}	0.01589404	1.0000000	62.916667
105	{shelter, tornado, tx}	=>	{texas}	0.01589404	1.0000000	8.206522
106	{shelter, texas, tornado}	=>	{tx}	0.01589404	1.0000000	8.483146
107	{texas, tornado, tx}	=>	{shelter}	0.01589404	1.0000000	53.928571
108	{shelter, texas, tx}	=>	{tornado}	0.01589404	1.0000000	62.916667
109	{fema, tornado, txwx}	=>	{tx}	0.01589404	1.0000000	8.483146
110	{fema, tornado, tx}	=>	{txwx}	0.01589404	1.0000000	14.803922
111	{tornado, tx, txwx}	=>	{fema}	0.01589404	1.0000000	30.200000
112	{fema, tx, txwx}	=>	{tornado}	0.01589404	1.0000000	62.916667
113	{fema, tornado, txwx}	=>	{texas}	0.01589404	1.0000000	8.206522
114	{fema, texas, tornado}	=>	{txwx}	0.01589404	1.0000000	14.803922
115	{texas, tornado, txwx}	=>	{fema}	0.01589404	1.0000000	30.200000
116	{fema, texas, txwx}	=>	{tornado}	0.01589404	1.0000000	62.916667
117	{fema, tornado, tx}	=>	{texas}	0.01589404	1.0000000	8.206522
118	{fema, texas, tornado}	=>	{tx}	0.01589404	1.0000000	8.483146
119	{texas, tornado, tx}	=>	{fema}	0.01589404	1.0000000	30.200000
120	{fema, texas, tx}	=>	{tornado}	0.01589404	1.0000000	62.916667
121	{tornado, tx, txwx}	=>	{texas}	0.01589404	1.0000000	8.206522
122	{texas, tornado, txwx}	=>	{tx}	0.01589404	1.0000000	8.483146
123	{texas, tornado, tx}	=>	{txwx}	0.01589404	1.0000000	14.803922
124	{texas, tx, txwx}	=>	{tornado}	0.01589404	1.0000000	62.916667
125	{fema, shelter, txwx}	=>	{tx}	0.01589404	1.0000000	8.483146
126	{fema, shelter, tx}	=>	{txwx}	0.01589404	1.0000000	14.803922
127	{shelter, tx, txwx}	=>	{fema}	0.01589404	1.0000000	30.200000
128	{fema, tx, txwx}	=>	{shelter}	0.01589404	1.0000000	53.928571
129	{fema, shelter, txwx}	=>	{texas}	0.01589404	1.0000000	8.206522
130	{fema, shelter, texas}	=>	{txwx}	0.01589404	1.0000000	14.803922
131	{shelter, texas, txwx}	=>	{fema}	0.01589404	1.0000000	30.200000
132	{fema, texas, txwx}	=>	{shelter}	0.01589404	1.0000000	53.928571
133	{fema, shelter, tx}	=>	{texas}	0.01589404	1.0000000	8.206522
134	{fema, shelter, texas}	=>	{tx}	0.01589404	1.0000000	8.483146
135	{shelter, texas, tx}	=>	{fema}	0.01589404	1.0000000	30.200000
