2017 Florida Coach Prevost X3 w/2 Slides	$ 1,700,000	Phone: 615-860-9485
2017 Prevost H3-45 Quad Slide -Stock #6245	$ 1,500,000	Phone: 800-335-6054
2016 Prevost H3-45 The Residency III Quad -Stock #7358	$ 1,350,000	Phone: 800-335-6054
2015 Newell Coach Newell Quad 1.5 Bath 600HP	$ 1,250,000	Phone: 480-245-7870
2012 Newell Bath & Half w/4 Slides	$ 1,125,000	Phone: 702-592-2277
2015 Prevost H3-45 Quad Slide The Grand Tour -Stock #5319	$ 1,100,000	Phone: 800-335-6054
2009 Prevost Marathon Quad Slide	$ 825,000	Phone: 480-245-7870
2011 Newell P2000i Quad Slide Bath and a Half 650 HP Cummins	$ 777,777	Phone: 630-558-2785
2015 Foretravel ih-45 w/4 Slides ***Sale Pending***	$ 759,999	Phone: 936-564-8367
2015 Foretravel ih-45 w/4 Slides ***Sale Pending****	$ 749,000	Phone: 936-564-8367
2007 Prevost Marathon H3-45 w/3 Slides	$ 650,000	Phone: 480-245-7870
2010 Newell Bath and a Half Model w/4 Slides	$ 650,000	Phone: 480-245-7870
2013 Foretravel ih-45 w/4 Slides Forestar Limited Warranty 6/6 Included	$ 599,999	Phone: 936-564-8367
2005 Prevost H3-45 Liberty w/Bunks and 2 Slides	$ 599,900	Phone: 888-783-4009
2013 Foretravel ih-45 w/4 Slides Forestar Limited Warranty 6/6 Included	$ 590,900	Phone: 800-955-6226
2015 Foretravel Realm w/4 Slides ***Sale Pending****	$ 589,500	Phone: 936-564-8367
2012 Foretravel ih-45 Quad Slide 650 HP	$ 525,900	Phone: 936-564-8367
2006 Prevost Featherlite H3-45 &Matching; Stacker	$ 525,000	Phone: 480-245-7870
2006 Marathon Prevost H3-45 w/2 Slides	$ 509,900	Phone: 888-783-4009
2010 Prevost Le Mirage XLII w/Slide 2 Bunk Coach	$ 499,000	Phone: 480-245-7870
2005 Liberty Elegant Lady w/2 Slides	$ 479,000	Phone: 949-204-7589
2006 Prevost Marathon XLII Champion Edition	$ 450,000	Phone: 480-245-7870
2010 Foretravel Nimbus w/4 Slides	$ 450,000	Phone: 936-564-8367
2006 Prevost Marathon XLII w/2 Slides	$ 450,000	Phone: 480-245-7870
2015 American Coach American Heritage 45T Bath & Half Full Wall Triple Slide	$ 449,900	Phone: 888-783-4009
2012 Foretravel IH-45 650HP	$ 449,000	Phone: 480-245-7870
2005 Prevost Marathon XLII w/2 Slides	$ 439,000	Phone: 972-771-5900
2015 Newmar Essex 4553 Triple Bath & Half (1 Full Wall Slide)	$ 433,333	Phone: 630-558-2785
2015 Newmar Essex w/4 Slides	$ 429,900	Phone: 888-783-4009
2017 Entegra Cornerstone 1-1/2 Bath w/4 Slides	$ 410,000	Phone: 713-828-5293
2009 Foretravel Phenix w/3 Slides	$ 405,999	Phone: 936-564-8367
2007 Newell P2000i Quad Bath & a Half	$ 399,999	Phone: 630-558-2785
2015 American Coach American Eagle 1.5 Bath 600 HP Quad	$ 399,000	Phone: 480-245-7870
2005 Prevost Country Coach w/2 Slides	$ 399,000	Phone: 480-245-7870
2015 Entegra Coach Cornerstone 45B w/4 Slides also Coach House and Chev. Avalanche for Sale	$ 399,000	Phone: 514-233-8483
2003 Prevost Country Coach XLII w/2 Slides	$ 399,000	Phone: 972-771-5900
2005 Prevost Country Coach XLII **SALE PENDING**	$ 399,000	Phone: 972-771-5900
2017 Winnebago Grand Tour HL	$ 389,900	Phone: 913-971-1357
2015 Monaco Dynasty 45P w/4 Slides	$ 365,000	Phone: 479-280-4435
2004 Prevost Parliament XLII w/2 Slides	$ 359,000	Phone: 972-771-5900
2004 Prevost Royale w/2 Slides	$ 350,000	Phone: 480-245-7870
2008 Foretravel Phenix w/4 Slides	$ 345,900	Phone: 936-564-8367
2011 Newmar Essex w/ Full Wall Slide	$ 345,000	Phone: 719-942-3926
2017 Entegra Anthem 42DEQ w/4 Slides	$ 339,900	Phone: 888-783-4009
2003 Prevost Millennium XLII w/2 Slides ***Sale Pending****	$ 329,000	Phone: 972-771-5900
2014 Entegra Cornerstone w/4 Slides	$ 329,000	Phone: 817-481-1601
2017 Entegra Anthem 44A Quad Slide Bath & a Half	$ 322,222	Phone: 630-558-2785
2007 Foretravel Phenix w/4 Slides	$ 315,650	Phone: 936-564-8367
2003 Prevost Elegant Lady	$ 305,000	Phone: 480-245-7870
2001 Prevost Marathon XLII w/2 Slides	$ 299,000	Phone: 480-245-7870
2006 Newell Coach Newell Quad Rear Bath	$ 299,000	Phone: 480-245-7870
2002 Prevost American XLII w/Slide	$ 299,000	Phone: 480-245-7870
2004 Prevost American 45 XIII w/2 Slides	$ 295,000	Phone: 888-783-4009
2003 Prevost Country Coach w/2 Slides	$ 290,000	Phone: 480-245-7870
2003 Prevost Country Coach XLII w/2 Slides	$ 290,000	Phone: 480-245-7870
2009 Newmar King Aire w/4 Slides	$ 285,900	Phone: 888-783-4009
2010 American Coach Heritage 45BT w/3 Slides (1 Full Wall Slide)	$ 285,000	Phone: 814-353-0775
2015 Entegra Anthem 44B Bath & 1/2	$ 279,900	Phone: 888-783-4009
2014 Tiffin Allegro Bus 45 LP w/4 Slides	$ 269,900	Phone: 888-783-4009
2014 Newmar Dutch Star 4369 w/3 Slides	$ 269,000	Phone: 541-408-3893
2015 Entegra Aspire 44U w/4 Slides	$ 265,900	Phone: 888-783-4009
2007 Foretravel Phenix w/2 Slides	$ 265,500	Phone: 936-564-8367
2009 Beaver Marquis Quad Bath and & Half	$ 260,000	Phone: 480-245-7870
2016 Tuscany 45AT Diesel w/3 Slides	$ 259,995	Phone: 559-577-0587
2008 Country Coach Affinity 700 Custom 600HP Quad	$ 250,000	Phone: 480-245-7870
2005 Newell Quad Slide	$ 250,000	Phone: 772-485-8480
2001 Prevost Marathon XLII	$ 249,000	Phone: 972-771-5900
2003 Prevost Marathon XLII w/2 Slides	$ 249,000	Phone: 480-245-7870
